Academic Year,County Name,District Name,School Name,School Type,Educational_Type,Low Grade,High Grade,2122_Enrollment,2122_Free_Meal_Count,2122_Free_Meal_Percent,2122_FRPM_Count,2122_FRPM_Percent
2021-2022,Alameda,Alameda County Office of Education,Alameda County Community,County Community,County Community School,K,12,57,45,0.789,47,0.825
2021-2022,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Juvenile Court Schools,Juvenile Court School,K,12,64,64,1.0,64,1.0
2021-2022,Alameda,Alameda County Office of Education,Alternatives in Action,High Schools (Public),Traditional,9,12,150,113,0.753,134,0.893
2021-2022,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,Junior High Schools (Public),Traditional,6,8,164,135,0.823,148,0.902
2021-2022,Alameda,Alameda County Office of Education,Community School for Creative Education,Elementary Schools (Public),Traditional,K,8,202,162,0.802,177,0.8759999999999999
2021-2022,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,K-12 Schools (Public),Traditional,K,12,514,107,0.20800000000000002,124,0.24100000000000002
2021-2022,Alameda,Alameda County Office of Education,Cox Academy,Elementary Schools (Public),Traditional,P,5,516,321,0.622,339,0.657
2021-2022,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,K-12 Schools (Public),Traditional,4,12,411,230,0.56,277,0.674
2021-2022,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,Elementary Schools (Public),Traditional,K,6,141,69,0.489,93,0.66
2021-2022,Alameda,Alameda County Office of Education,Lazear Charter Academy,Elementary Schools (Public),Traditional,K,8,469,227,0.484,229,0.488
2021-2022,Alameda,Alameda County Office of Education,Oakland Unity Middle,Intermediate/Middle Schools (Public),Traditional,6,8,108,84,0.778,90,0.833
2021-2022,Alameda,Alameda County Office of Education,Opportunity Academy,County Community,County Community School,10,12,186,71,0.382,71,0.382
2021-2022,Alameda,Alameda County Office of Education,Urban Montessori Charter,Elementary Schools (Public),Traditional,K,8,349,86,0.24600000000000002,92,0.264
2021-2022,Alameda,Alameda County Office of Education,Yu Ming Charter,Elementary Schools (Public),Traditional,K,8,672,139,0.207,156,0.23199999999999998
2021-2022,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special School,K,Adult,62,62,1.0,62,1.0
2021-2022,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special School,P,12,318,318,1.0,318,1.0
2021-2022,Alameda,Alameda Unified,Alameda Community Learning Center,K-12 Schools (Public),Traditional,6,12,356,97,0.272,98,0.275
2021-2022,Alameda,Alameda Unified,Alameda High,High Schools (Public),Traditional,9,12,1808,311,0.172,327,0.18100000000000002
2021-2022,Alameda,Alameda Unified,Alameda Science and Technology Institute,Alternative Schools of Choice,Alternative School of Choice,9,12,168,53,0.315,53,0.315
2021-2022,Alameda,Alameda Unified,Amelia Earhart Elementary,Elementary Schools (Public),Traditional,K,5,558,57,0.102,60,0.10800000000000001
2021-2022,Alameda,Alameda Unified,Bay Farm,Elementary Schools (Public),Traditional,K,8,552,40,0.07200000000000001,55,0.1
2021-2022,Alameda,Alameda Unified,Edison Elementary,Elementary Schools (Public),Traditional,K,5,436,59,0.135,59,0.135
2021-2022,Alameda,Alameda Unified,Encinal Junior/Senior High,K-12 Schools (Public),Traditional,6,12,1124,331,0.294,343,0.305
2021-2022,Alameda,Alameda Unified,Frank Otis Elementary,Elementary Schools (Public),Traditional,K,5,570,77,0.135,80,0.14
2021-2022,Alameda,Alameda Unified,Franklin Elementary,Elementary Schools (Public),Traditional,K,5,280,49,0.175,50,0.179
2021-2022,Alameda,Alameda Unified,Island High (Continuation),Continuation High Schools,Continuation School,9,12,72,44,0.611,44,0.611
2021-2022,Alameda,Alameda Unified,Lincoln Middle,Intermediate/Middle Schools (Public),Traditional,6,8,819,110,0.134,115,0.14
2021-2022,Alameda,Alameda Unified,Love Elementary,Elementary Schools (Public),Traditional,K,5,463,156,0.337,170,0.36700000000000005
2021-2022,Alameda,Alameda Unified,Maya Lin,Elementary Schools (Public),Traditional,K,5,444,89,0.2,93,0.209
2021-2022,Alameda,Alameda Unified,Nea Community Learning Center,K-12 Schools (Public),Traditional,K,12,535,186,0.348,193,0.361
2021-2022,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",,,,,26,9,0.34600000000000003,9,0.34600000000000003
2021-2022,Alameda,Alameda Unified,Ruby Bridges Elementary,Elementary Schools (Public),Traditional,K,5,445,211,0.474,222,0.499
2021-2022,Alameda,Alameda Unified,The Academy of Alameda,Intermediate/Middle Schools (Public),Traditional,6,8,370,161,0.435,211,0.57
2021-2022,Alameda,Alameda Unified,The Academy of Alameda Elementary,Elementary Schools (Public),Traditional,K,5,278,105,0.37799999999999995,137,0.493
2021-2022,Alameda,Alameda Unified,Will C. Wood Middle,Intermediate/Middle Schools (Public),Traditional,6,8,613,223,0.364,235,0.38299999999999995
2021-2022,Alameda,Alameda Unified,William G. Paden Elementary,Elementary Schools (Public),Traditional,K,5,328,104,0.317,105,0.32
2021-2022,Alameda,Albany City Unified,Albany High,High Schools (Public),Traditional,9,12,1187,207,0.174,307,0.259
2021-2022,Alameda,Albany City Unified,Albany Middle,Intermediate/Middle Schools (Public),Traditional,6,8,799,150,0.188,218,0.273
2021-2022,Alameda,Albany City Unified,Cornell Elementary,Elementary Schools (Public),Traditional,K,5,547,66,0.121,96,0.17600000000000002
2021-2022,Alameda,Albany City Unified,MacGregor High (Continuation),Continuation High Schools,Continuation School,10,12,2,1,0.5,2,1.0
2021-2022,Alameda,Albany City Unified,Marin Elementary,Elementary Schools (Public),Traditional,K,5,442,73,0.165,105,0.23800000000000002
2021-2022,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",,,,,9,2,0.222,2,0.222
2021-2022,Alameda,Albany City Unified,Ocean View Elementary,Elementary Schools (Public),Traditional,K,5,528,160,0.303,209,0.396
2021-2022,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Elementary Schools (Public),Traditional,K,5,381,89,0.23399999999999999,96,0.252
2021-2022,Alameda,Berkeley Unified,Berkeley High,High Schools (Public),Traditional,9,12,3222,845,0.262,935,0.29
2021-2022,Alameda,Berkeley Unified,Berkeley Technology Academy,Continuation High Schools,Continuation School,10,12,52,40,0.769,41,0.7879999999999999
2021-2022,Alameda,Berkeley Unified,Cragmont Elementary,Elementary Schools (Public),Traditional,K,5,296,67,0.226,73,0.247
2021-2022,Alameda,Berkeley Unified,Emerson Elementary,Elementary Schools (Public),Traditional,K,5,281,75,0.267,83,0.295
2021-2022,Alameda,Berkeley Unified,John Muir Elementary,Elementary Schools (Public),Traditional,K,5,258,80,0.31,83,0.322
2021-2022,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Intermediate/Middle Schools (Public),Traditional,6,8,468,252,0.5379999999999999,288,0.615
2021-2022,Alameda,Berkeley Unified,Malcolm X Elementary,Elementary Schools (Public),Traditional,K,5,473,142,0.3,149,0.315
2021-2022,Alameda,Berkeley Unified,Martin Luther King Middle,Intermediate/Middle Schools (Public),Traditional,6,8,941,218,0.23199999999999998,241,0.256
2021-2022,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",,,,,46,16,0.348,16,0.348
2021-2022,Alameda,Berkeley Unified,Oxford Elementary at West Campus,Elementary Schools (Public),Traditional,K,5,236,70,0.297,75,0.318
2021-2022,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Elementary Schools (Public),Traditional,K,5,397,91,0.22899999999999998,98,0.247
2021-2022,Alameda,Berkeley Unified,Ruth Acty Elementary,Elementary Schools (Public),Traditional,K,5,387,70,0.18100000000000002,85,0.22
2021-2022,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Elementary Schools (Public),Traditional,K,5,412,114,0.27699999999999997,122,0.29600000000000004
2021-2022,Alameda,Berkeley Unified,Thousand Oaks Elementary,Elementary Schools (Public),Traditional,K,5,339,111,0.327,116,0.342
2021-2022,Alameda,Berkeley Unified,Washington Elementary,Elementary Schools (Public),Traditional,K,5,388,90,0.23199999999999998,100,0.258
2021-2022,Alameda,Berkeley Unified,Willard Middle,Intermediate/Middle Schools (Public),Traditional,6,8,600,141,0.235,155,0.258
2021-2022,Alameda,Castro Valley Unified,Canyon Middle,Intermediate/Middle Schools (Public),Traditional,6,8,1266,270,0.213,287,0.22699999999999998
2021-2022,Alameda,Castro Valley Unified,Castro Valley Elementary,Elementary Schools (Public),Traditional,K,5,468,143,0.306,151,0.32299999999999995
2021-2022,Alameda,Castro Valley Unified,Castro Valley High,High Schools (Public),Traditional,9,12,2699,449,0.166,491,0.182
2021-2022,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,K-12 Schools (Public),Traditional,K,12,336,92,0.27399999999999997,97,0.289
2021-2022,Alameda,Castro Valley Unified,Chabot Elementary,Elementary Schools (Public),Traditional,K,5,432,62,0.14400000000000002,72,0.16699999999999998
2021-2022,Alameda,Castro Valley Unified,Creekside Middle,Intermediate/Middle Schools (Public),Traditional,6,8,759,151,0.19899999999999998,165,0.217
2021-2022,Alameda,Castro Valley Unified,Independent Elementary,Elementary Schools (Public),Traditional,K,5,571,57,0.1,72,0.126
2021-2022,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Elementary Schools (Public),Traditional,K,5,368,30,0.08199999999999999,32,0.087
2021-2022,Alameda,Castro Valley Unified,Marshall Elementary,Elementary Schools (Public),Traditional,K,5,461,112,0.243,124,0.26899999999999996
2021-2022,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",,,,,16,9,0.563,9,0.563
2021-2022,Alameda,Castro Valley Unified,Palomares Elementary,Elementary Schools (Public),Traditional,K,5,124,22,0.177,23,0.185
2021-2022,Alameda,Castro Valley Unified,Proctor Elementary,Elementary Schools (Public),Traditional,K,5,582,85,0.146,85,0.146
2021-2022,Alameda,Castro Valley Unified,Redwood Continuation High,Continuation High Schools,Continuation School,9,12,102,39,0.382,41,0.402
2021-2022,Alameda,Castro Valley Unified,Roy A. Johnson High,Special Education Schools (Public),Special Education School,9,12,24,2,0.083,2,0.083
2021-2022,Alameda,Castro Valley Unified,Stanton Elementary,Elementary Schools (Public),Traditional,K,5,475,135,0.284,151,0.318
2021-2022,Alameda,Castro Valley Unified,Vannoy Elementary,Elementary Schools (Public),Traditional,K,5,360,41,0.114,51,0.142
2021-2022,Alameda,Emery Unified,Anna Yates Elementary,Elementary Schools (Public),Traditional,K,8,437,268,0.613,281,0.643
2021-2022,Alameda,Emery Unified,Emery Secondary,High Schools (Public),Traditional,9,12,176,97,0.551,102,0.58
2021-2022,Alameda,Fremont Unified,American High,High Schools (Public),Traditional,9,12,2522,349,0.138,371,0.147
2021-2022,Alameda,Fremont Unified,Ardenwood Elementary,Elementary Schools (Public),Traditional,K,6,741,65,0.08800000000000001,67,0.09
2021-2022,Alameda,Fremont Unified,Brier Elementary,Elementary Schools (Public),Traditional,K,5,587,200,0.341,209,0.35600000000000004
2021-2022,Alameda,Fremont Unified,Brookvale Elementary,Elementary Schools (Public),Traditional,K,6,510,60,0.11800000000000001,60,0.11800000000000001
2021-2022,Alameda,Fremont Unified,Cabrillo Elementary,Elementary Schools (Public),Traditional,K,6,331,169,0.511,182,0.55
2021-2022,Alameda,Fremont Unified,Centerville Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,925,211,0.228,233,0.252
2021-2022,Alameda,Fremont Unified,Circle of Independent Learning,K-12 Schools (Public),Traditional,K,12,402,151,0.376,171,0.425
2021-2022,Alameda,Fremont Unified,E. M. Grimmer Elementary,Elementary Schools (Public),Traditional,K,6,384,124,0.32299999999999995,141,0.36700000000000005
2021-2022,Alameda,Fremont Unified,Forest Park Elementary,Elementary Schools (Public),Traditional,K,6,905,65,0.07200000000000001,68,0.075
2021-2022,Alameda,Fremont Unified,Fred E. Weibel Elementary,Elementary Schools (Public),Traditional,K,5,1082,98,0.091,101,0.09300000000000001
2021-2022,Alameda,Fremont Unified,G. M. Walters Middle,Intermediate/Middle Schools (Public),Traditional,6,8,1078,385,0.35700000000000004,422,0.391
2021-2022,Alameda,Fremont Unified,Glenmoor Elementary,Elementary Schools (Public),Traditional,K,6,633,184,0.29100000000000004,199,0.314
2021-2022,Alameda,Fremont Unified,Harvey Green Elementary,Elementary Schools (Public),Traditional,K,5,409,92,0.225,99,0.242
2021-2022,Alameda,Fremont Unified,Irvington High,High Schools (Public),Traditional,9,12,2315,334,0.14400000000000002,366,0.158
