Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,0811,Directly funded,Y,9,12,413,265,64.2%,308,74.6%,401,258,64.3%,299,74.6%,Y
2017-2018,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1284,Directly funded,Y,K,8,252,169,67.1%,180,71.4%,233,153,65.7%,163,70.0%,Y
2017-2018,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1296,Directly funded,Y,K,8,387,49,12.7%,53,13.7%,387,49,12.7%,53,13.7%,Y
2017-2018,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1383,Directly funded,Y,K,8,448,118,26.3%,127,28.3%,438,118,26.9%,127,29.0%,Y
2017-2018,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,77,77,100.0%,77,100.0%,70,70,100.0%,70,100.0%,Y
2017-2018,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,175,138,78.9%,149,85.1%,132,98,74.2%,108,81.8%,Y
2017-2018,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1707,Directly funded,Y,6,8,179,138,77.1%,153,85.5%,179,138,77.1%,153,85.5%,Y
2017-2018,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,1881,Directly funded,Y,K,12,106,22,20.8%,27,25.5%,105,21,20.0%,26,24.8%,Y
2017-2018,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Charter,County Office of Education (COE),County Community,County Community School,N/A,Yes,1888,Locally funded,N,10,12,23,18,78.3%,18,78.3%,3,2,66.7%,2,66.7%,Y
2017-2018,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,0740,Directly funded,Y,P,5,587,509,86.7%,546,93.0%,571,498,87.2%,533,93.3%,Y
