Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2020-2021,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,N ,N/A,N/A,N,K,12,105,78,74.3%,80,76.2%,82,58,70.7%,59,72.0%,Y
2020-2021,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N ,N/A,N/A,N,K,12,52,52,100.0%,52,100.0%,45,45,100.0%,45,100.0%,Y
2020-2021,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,N/A,Y,1908,Directly funded,Y,6,8,197,136,69.0%,146,74.1%,197,136,69.0%,146,74.1%,Y
2020-2021,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1284,Directly funded,Y,K,8,253,169,66.8%,176,69.6%,252,169,67.1%,176,69.8%,Y
2020-2021,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,1881,Directly funded,Y,K,12,534,122,22.8%,146,27.3%,527,120,22.8%,142,26.9%,Y
2020-2021,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,0740,Directly funded,Y,P,5,581,480,82.6%,516,88.8%,572,474,82.9%,509,89.0%,Y
2020-2021,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,0811,Directly funded,Y,6,12,408,283,69.4%,317,77.7%,397,277,69.8%,310,78.1%,Y
2020-2021,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,2027,Directly funded,Y,K,6,116,49,42.2%,63,54.3%,114,47,41.2%,61,53.5%,Y
2020-2021,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1464,Directly funded,Y,K,8,485,403,83.1%,442,91.1%,478,398,83.3%,436,91.2%,Y
2020-2021,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Y,1707,Directly funded,Y,6,8,145,112,77.2%,124,85.5%,145,112,77.2%,124,85.5%,Y
2020-2021,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,N/A,Y,1888,Locally funded,N,10,12,134,49,36.6%,49,36.6%,19,12,63.2%,12,63.2%,Y
2020-2021,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1383,Directly funded,Y,K,8,395,106,26.8%,111,28.1%,383,106,27.7%,111,29.0%,Y
2020-2021,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1296,Directly funded,Y,K,8,555,89,16.0%,101,18.2%,555,89,16.0%,101,18.2%,Y
2020-2021,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,N ,N/A,N/A,N,K,Adult,58,58,100.0%,58,100.0%,40,40,100.0%,40,100.0%,Y
